observation_date,MHIMD24510A052NCEN
1993-01-01,25466
1994-01-01,
1995-01-01,25918
1996-01-01,
1997-01-01,27713
1998-01-01,28398
1999-01-01,28581
2000-01-01,29460
2001-01-01,28510
2002-01-01,28164
2003-01-01,29162
2004-01-01,29792
2005-01-01,32453
2006-01-01,35834
2007-01-01,36894
2008-01-01,40087
2009-01-01,38458
2010-01-01,38186
2011-01-01,38478
2012-01-01,39077
2013-01-01,41988
2014-01-01,41895
2015-01-01,43192
2016-01-01,46604
2017-01-01,46762
2018-01-01,50501
2019-01-01,49780
2020-01-01,51485
2021-01-01,54068
2022-01-01,54735
2023-01-01,58616
2024-01-01,63451
